Optimal policy via Value Iteration
Environment: Mountain Car (mountaincar)
Iterations: 689
Gamma=0.99, Delta=0.001

state -> best action
(0, 0) -> push_left
(0, 1) -> push_left
(0, 2) -> push_left
(0, 3) -> push_left
(0, 4) -> push_left
(0, 5) -> push_left
(0, 6) -> push_left
(0, 7) -> push_left
(0, 8) -> push_left
(0, 9) -> push_left
(0, 10) -> push_left
(0, 11) -> push_left
(0, 12) -> push_left
(0, 13) -> push_left
(0, 14) -> push_left
(0, 15) -> push_left
(0, 16) -> push_left
(0, 17) -> push_left
(0, 18) -> push_left
(0, 19) -> push_left
(0, 20) -> coast
(0, 21) -> coast
(0, 22) -> coast
(0, 23) -> coast
(0, 24) -> coast
(0, 25) -> coast
(0, 26) -> coast
(0, 27) -> coast
(0, 28) -> coast
(0, 29) -> push_left
(0, 30) -> coast
(0, 31) -> push_left
(0, 32) -> coast
(0, 33) -> push_left
(0, 34) -> coast
(0, 35) -> push_left
(0, 36) -> coast
(0, 37) -> push_left
(0, 38) -> coast
(0, 39) -> push_left
(0, 40) -> push_left
(1, 0) -> push_left
(1, 1) -> push_left
(1, 2) -> push_left
(1, 3) -> push_left
(1, 4) -> push_left
(1, 5) -> push_left
(1, 6) -> push_left
(1, 7) -> push_left
(1, 8) -> push_left
(1, 9) -> push_left
(1, 10) -> push_left
(1, 11) -> push_left
(1, 12) -> push_left
(1, 13) -> push_left
(1, 14) -> coast
(1, 15) -> coast
(1, 16) -> coast
(1, 17) -> coast
(1, 18) -> coast
(1, 19) -> coast
(1, 20) -> coast
(1, 21) -> coast
(1, 22) -> coast
(1, 23) -> coast
(1, 24) -> coast
(1, 25) -> coast
(1, 26) -> coast
(1, 27) -> coast
(1, 28) -> coast
(1, 29) -> coast
(1, 30) -> push_left
(1, 31) -> coast
(1, 32) -> push_left
(1, 33) -> coast
(1, 34) -> push_left
(1, 35) -> coast
(1, 36) -> push_left
(1, 37) -> coast
(1, 38) -> push_left
(1, 39) -> push_left
(1, 40) -> push_left
(2, 0) -> push_left
(2, 1) -> push_left
(2, 2) -> push_left
(2, 3) -> push_left
(2, 4) -> push_left
(2, 5) -> push_left
(2, 6) -> push_left
(2, 7) -> push_left
(2, 8) -> push_left
(2, 9) -> push_left
(2, 10) -> push_left
(2, 11) -> push_left
(2, 12) -> push_left
(2, 13) -> push_left
(2, 14) -> coast
(2, 15) -> coast
(2, 16) -> coast
(2, 17) -> coast
(2, 18) -> coast
(2, 19) -> coast
(2, 20) -> coast
(2, 21) -> coast
(2, 22) -> coast
(2, 23) -> coast
(2, 24) -> coast
(2, 25) -> coast
(2, 26) -> coast
(2, 27) -> push_left
(2, 28) -> coast
(2, 29) -> coast
(2, 30) -> coast
(2, 31) -> push_left
(2, 32) -> coast
(2, 33) -> push_left
(2, 34) -> coast
(2, 35) -> push_left
(2, 36) -> coast
(2, 37) -> push_left
(2, 38) -> coast
(2, 39) -> push_left
(2, 40) -> push_left
(3, 0) -> push_left
