Policy snapshot for mountaincar
Format: state -> best action | action probabilities

state=(-1.2000000476837158, -0.07000000029802322): best=0 (0.977) | probs: 0:0.977, 1:0.012, 2:0.010
state=(-1.2000000476837158, -0.0664102566929964): best=0 (0.977) | probs: 0:0.977, 1:0.012, 2:0.010
state=(-1.2000000476837158, -0.06282051308796956): best=0 (0.977) | probs: 0:0.977, 1:0.013, 2:0.010
state=(-1.2000000476837158, -0.05923076948294273): best=0 (0.977) | probs: 0:0.977, 1:0.013, 2:0.011
state=(-1.2000000476837158, -0.055641025877915896): best=0 (0.976) | probs: 0:0.976, 1:0.013, 2:0.011
state=(-1.2000000476837158, -0.05205128227288906): best=0 (0.976) | probs: 0:0.976, 1:0.013, 2:0.011
state=(-1.2000000476837158, -0.048461538667862236): best=0 (0.976) | probs: 0:0.976, 1:0.013, 2:0.011
state=(-1.2000000476837158, -0.0448717950628354): best=0 (0.976) | probs: 0:0.976, 1:0.014, 2:0.011
state=(-1.2000000476837158, -0.04128205145780857): best=0 (0.976) | probs: 0:0.976, 1:0.014, 2:0.011
state=(-1.2000000476837158, -0.037692307852781735): best=0 (0.975) | probs: 0:0.975, 1:0.014, 2:0.011
state=(-1.2000000476837158, -0.0341025642477549): best=0 (0.975) | probs: 0:0.975, 1:0.014, 2:0.011
state=(-1.2000000476837158, -0.030512820642728075): best=0 (0.975) | probs: 0:0.975, 1:0.014, 2:0.011
state=(-1.2000000476837158, -0.02692307703770124): best=0 (0.975) | probs: 0:0.975, 1:0.015, 2:0.011
state=(-1.2000000476837158, -0.023333333432674408): best=0 (0.974) | probs: 0:0.974, 1:0.015, 2:0.011
state=(-1.2000000476837158, -0.01974358982764758): best=0 (0.974) | probs: 0:0.974, 1:0.015, 2:0.011
state=(-1.2000000476837158, -0.016153846222620748): best=0 (0.974) | probs: 0:0.974, 1:0.015, 2:0.011
state=(-1.2000000476837158, -0.012564102617593914): best=0 (0.974) | probs: 0:0.974, 1:0.015, 2:0.011
state=(-1.2000000476837158, -0.00897435901256708): best=0 (0.974) | probs: 0:0.974, 1:0.015, 2:0.011
state=(-1.2000000476837158, -0.005384615407540247): best=0 (0.973) | probs: 0:0.973, 1:0.016, 2:0.011
state=(-1.2000000476837158, -0.0017948718025134203): best=0 (0.973) | probs: 0:0.973, 1:0.016, 2:0.011
state=(-1.2000000476837158, 0.0017948718025134203): best=0 (0.973) | probs: 0:0.973, 1:0.016, 2:0.011
state=(-1.2000000476837158, 0.005384615407540247): best=0 (0.973) | probs: 0:0.973, 1:0.016, 2:0.011
state=(-1.2000000476837158, 0.008974359012567074): best=0 (0.973) | probs: 0:0.973, 1:0.016, 2:0.011
state=(-1.2000000476837158, 0.012564102617593914): best=0 (0.973) | probs: 0:0.973, 1:0.016, 2:0.011
state=(-1.2000000476837158, 0.01615384622262074): best=0 (0.972) | probs: 0:0.972, 1:0.017, 2:0.011
state=(-1.2000000476837158, 0.019743589827647567): best=0 (0.972) | probs: 0:0.972, 1:0.017, 2:0.011
